"Company","Date","Time","Rocket","Mission","RocketStatus","Price","MissionStatus","Country_id"
"RVSN USSR","1957-10-04","2022-08-15 19:28:00","Sputnik 8K71PS","Sputnik-1","1","0","2","21"
"RVSN USSR","1957-11-03","2022-08-15 02:30:00","Sputnik 8K71PS","Sputnik-2","1","0","2","21"
"US Navy","1957-12-06","2022-08-15 16:44:00","Vanguard","Vanguard TV3","1","0","4","3"
"AMBA","1958-02-01","2022-08-15 03:48:00","Juno I","Explorer 1","1","0","2","3"
"US Navy","1958-02-05","2022-08-15 07:33:00","Vanguard","Vanguard TV3BU","1","0","4","3"
"AMBA","1958-03-05","2022-08-15 18:27:00","Juno I","Explorer 2","1","0","4","3"
"US Navy","1958-03-17","2022-08-15 12:15:00","Vanguard","Vanguard 1","1","0","2","3"
"AMBA","1958-03-26","2022-08-15 17:38:00","Juno I","Explorer 3","1","0","2","3"
"RVSN USSR","1958-04-27","2022-08-15 09:01:00","Sputnik 8A91","Sputnik-3 #1","1","0","4","21"
"US Navy","1958-04-28","2022-08-15 02:53:00","Vanguard","Vanguard TV5","1","0","4","3"
"RVSN USSR","1958-05-15","2022-08-15 07:12:00","Sputnik 8A91","Sputnik-3 #2","1","0","2","21"
"US Navy","1958-05-28","2022-08-15 03:46:00","Vanguard","Vanguard SLV-1","1","0","4","3"
"US Navy","1958-06-26","2022-08-15 05:00:00","Vanguard","Vanguard SLV-2","1","0","4","3"
"US Navy","1958-07-25","2022-08-15 00:00:00","NOTS-EV-1 Pilot II","Pilot-1 (D1)","1","0","4","3"
"AMBA","1958-07-26","2022-08-15 15:00:00","Juno I","Explorer 4","1","0","2","3"
"US Navy","1958-08-12","2022-08-15 00:00:00","NOTS-EV-1 Pilot II","Pilot-2 (D2)","1","0","4","3"
"US Air Force","1958-08-17","2022-08-15 12:18:00","Thor-DM 18 Able I","Pioneer 0","1","0","4","3"
"US Navy","1958-08-22","2022-08-15 00:00:00","NOTS-EV-1 Pilot II","Pilot-3 (D3)","1","0","4","3"
"AMBA","1958-08-24","2022-08-15 06:17:00","Juno I","Explorer 5","1","0","4","3"
"US Navy","1958-08-25","2022-08-15 00:00:00","NOTS-EV-1 Pilot II","Pilot-4 (R1)","1","0","4","3"
"US Navy","1958-08-26","2022-08-15 00:00:00","NOTS-EV-1 Pilot II","Pilot-5 (R2)","1","0","4","3"
"US Navy","1958-08-29","2022-08-15 00:00:00","NOTS-EV-1 Pilot II","Pilot-6 (R3","1","0","4","3"
"RVSN USSR","1958-09-23","2022-08-15 07:40:00","Vostok","E-1 n†­1 (Luna-1)","1","0","4","21"
"US Navy","1958-09-26","2022-08-15 15:38:00","Vanguard","Vanguard SLV-3","1","0","4","3"
"NASA","1958-10-11","2022-08-15 08:42:00","Thor-DM 18 Able I","Pioneer 1","1","0","1","3"
"RVSN USSR","1958-10-11","2022-08-15 21:41:00","Vostok","E-1 n†­2 (Luna-1)","1","0","4","21"
"AMBA","1958-10-23","2022-08-15 03:21:00","Juno I","Beacon 1","1","0","4","3"
"NASA","1958-11-08","2022-08-15 07:30:00","Thor-DM 18 Able I","Pioneer 2","1","0","4","3"
"RVSN USSR","1958-12-04","2022-08-15 18:18:00","Vostok","E-1 n†­3 (Luna-1)","1","0","4","21"
"AMBA","1958-12-06","2022-08-15 05:44:00","Juno II","Pioneer 3","1","0","1","3"
"US Air Force","1958-12-18","2022-08-15 23:02:00","SM-65B Atlas","SCORE","1","0","2","3"
"RVSN USSR","1959-01-02","2022-08-15 16:41:00","Vostok","Luna-1","1","0","1","21"
"US Navy","1959-02-17","2022-08-15 15:55:00","Vanguard","Vanguard 2","1","0","2","3"
"US Air Force","1959-02-28","2022-08-15 21:49:00","Thor-DM18 Agena-A","Discoverer 1","1","0","4","3"
"US Air Force","1959-04-13","2022-08-15 21:18:00","Thor-DM18 Agena-A","Discoverer 2","1","0","2","3"
"US Navy","1959-04-14","2022-08-15 02:49:00","Vanguard","Vanguard SLV-5","1","0","4","3"
"US Air Force","1959-06-03","2022-08-15 20:09:00","Thor-DM18 Agena-A","Discoverer 3","1","0","4","3"
"RVSN USSR","1959-06-18","2022-08-15 08:08:00","Vostok","E-1A n†­1 (Luna-2)","1","0","4","21"
"US Navy","1959-06-22","2022-08-15 20:16:00","Vanguard","Vanguard SLV-6","1","0","4","3"
"US Air Force","1959-06-25","2022-08-15 22:47:00","Thor-DM18 Agena-A","Discoverer 4","1","0","4","3"
"US Air Force","1959-08-07","2022-08-15 14:24:00","Thor DM-18 Able-III","Explorer 6","1","0","2","3"
"US Air Force","1959-08-13","2022-08-15 19:00:00","Thor-DM18 Agena-A","Discoverer 5","1","0","2","3"
"US Air Force","1959-08-19","2022-08-15 19:24:00","Thor-DM18 Agena-A","Discoverer 6","1","0","2","3"
"NASA","1959-09-09","2022-08-15 08:19:00","Atlas-D Mercury","Big Joe 1","1","0","1","3"
"RVSN USSR","1959-09-12","2022-08-15 06:39:00","Vostok","Luna-2","1","0","2","21"
"US Air Force","1959-09-17","2022-08-15 14:34:00","Thor DM-18 Able-II","Transit 1A","1","0","4","3"
"US Navy","1959-09-18","2022-08-15 05:20:00","Vanguard","Vanguard 3","1","0","1","3"
"RVSN USSR","1959-10-04","2022-08-15 00:43:00","Vostok","Luna-3","1","0","2","21"
"US Air Force","1959-11-07","2022-08-15 20:28:00","Thor-DM18 Agena-A","Discoverer 7","1","0","2","3"
"US Air Force","1959-11-20","2022-08-15 19:25:00","Thor-DM18 Agena-A","Discoverer 8","1","0","4","3"
"General Dynamics","1959-11-26","2022-08-15 07:26:00","Atlas-D Able","Pioneer P-3","1","0","4","3"
"US Air Force","1960-02-04","2022-08-15 18:51:00","Thor-DM18 Agena-A","Discoverer 9","1","0","4","3"
"US Air Force","1960-02-19","2022-08-15 20:15:00","Thor-DM18 Agena-A","Discoverer 10","1","0","4","3"
"General Dynamics","1960-02-26","2022-08-15 17:25:00","Atlas-LV3 Agena-A","Midas 1","1","0","4","3"
"US Air Force","1960-03-11","2022-08-15 13:00:00","Thor DM-18 Able-IV","Pioneer 5","1","0","2","3"
"US Air Force","1960-04-01","2022-08-15 11:40:00","Thor DM-18 Able-II","TIROS-1","1","0","2","3"
"US Air Force","1960-04-13","2022-08-15 12:02:00","Thor-DM21 Ablestar","Transit 1B","1","0","2","3"
"RVSN USSR","1960-04-15","2022-08-15 15:06:00","Vostok","E-3 n†­2 (Luna-3)","1","0","4","21"
"US Air Force","1960-04-15","2022-08-15 20:30:00","Thor-DM18 Agena-A","Discoverer 11","1","0","2","3"
"RVSN USSR","1960-04-16","2022-08-15 00:00:00","Vostok","E-3 n†­3 (Luna-3)","1","0","4","21"
"US Air Force","1960-05-13","2022-08-15 09:16:00","Thor DM-19 Delta","Echo 1","1","0","4","3"
"RVSN USSR","1960-05-15","2022-08-15 00:00:00","Vostok","Korabl-Sputnik 1","1","0","2","21"
"General Dynamics","1960-05-24","2022-08-15 17:36:00","Atlas-LV3 Agena-A","Midas 2","1","0","2","3"
"US Air Force","1960-06-22","2022-08-15 05:54:00","Thor-DM21 Ablestar","Transit 2A & GRAB-1","1","0","2","3"
"US Air Force","1960-06-29","2022-08-15 22:00:00","Thor-DM18 Agena-A","Discoverer 12","1","0","4","3"
"RVSN USSR","1960-07-28","2022-08-15 09:31:00","Vostok","1K n†­2 (Korabl-Sputnik 2)","1","0","4","21"
"NASA","1960-07-29","2022-08-15 13:13:00","Atlas-D Mercury","Mercury-Atlas 1 (MA-1)","1","0","4","3"
"US Air Force","1960-08-10","2022-08-15 20:37:00","Thor-DM18 Agena-A","Discoverer 13","1","0","2","3"
"US Air Force","1960-08-12","2022-08-15 09:39:00","Thor DM-19 Delta","Echo 1A","1","0","2","3"
"US Air Force","1960-08-18","2022-08-15 19:57:00","Thor-DM18 Agena-A","Discoverer 14","1","0","2","3"
"US Air Force","1960-08-18","2022-08-15 19:58:00","Thor-DM21 Ablestar","Courier 1A","1","0","4","3"
"RVSN USSR","1960-08-19","2022-08-15 08:44:00","Vostok","Korabl-Sputnik 2","1","0","2","21"
"US Air Force","1960-09-13","2022-08-15 22:14:00","Thor-DM18 Agena-A","Discoverer 15","1","0","2","3"
"General Dynamics","1960-09-25","2022-08-15 15:13:00","Atlas-D Able","Pioneer P-30","1","0","4","3"
"US Air Force","1960-10-04","2022-08-15 17:50:00","Thor-DM21 Ablestar","Courier 1B","1","0","2","3"
"RVSN USSR","1960-10-10","2022-08-15 14:27:00","Molniya","1M n†­1 (Marsnik 1)","1","0","4","21"
"General Dynamics","1960-10-11","2022-08-15 20:33:00","Atlas-LV3 Agena-A","Samos 1","1","0","4","3"
"RVSN USSR","1960-10-14","2022-08-15 13:51:00","Molniya","1M n†­2 (Marsnik 2)","1","0","4","21"
"US Air Force","1960-10-26","2022-08-15 20:26:00","Thor DM-21 Agena-B","Discoverer 16","1","0","4","3"
"US Air Force","1960-11-12","2022-08-15 20:43:00","Thor DM-21 Agena-B","Discoverer 17","1","0","2","3"
"NASA","1960-11-21","2022-08-15 14:00:00","Mercury-Redstone","Mercury-Redstone 1 (MR-1)","1","0","4","3"
"US Air Force","1960-11-23","2022-08-15 11:13:00","Thor DM-19 Delta","TIROS-2","1","0","2","3"
"US Air Force","1960-11-30","2022-08-15 19:50:00","Thor-DM21 Ablestar","Transit 3A & GRAB-2","1","0","4","3"
"RVSN USSR","1960-12-01","2022-08-15 07:30:00","Vostok","Korabl-Sputnik 3","1","0","2","21"
"NASA","1960-12-04","2022-08-15 21:14:00","Scout X-1","Explorer (S-56)","1","0","4","3"
"US Air Force","1960-12-07","2022-08-15 20:20:00","Thor DM-21 Agena-B","Discoverer 18","1","0","2","3"
"General Dynamics","1960-12-15","2022-08-15 09:10:00","Atlas-D Able","Pioneer P-31","1","0","4","3"
"NASA","1960-12-19","2022-08-15 16:15:00","Mercury-Redstone","Mercury-Redstone 1A (MR-1A)","1","0","2","3"
"US Air Force","1960-12-20","2022-08-15 20:32:00","Thor DM-21 Agena-B","Discoverer 19","1","0","2","3"
"RVSN USSR","1960-12-22","2022-08-15 07:45:00","Vostok","1K n†­5 (Korabl-Sputnik 3)","1","0","4","21"
"NASA","1961-01-31","2022-08-15 16:55:00","Mercury-Redstone","Mercury-Redstone 2 (MR-2)","1","0","2","3"
"General Dynamics","1961-01-31","2022-08-15 20:21:00","Atlas-LV3 Agena-A","Samos 2","1","0","2","3"
"RVSN USSR","1961-02-04","2022-08-15 01:18:00","Molniya","1VA n†­1 (Venera 1)","1","0","4","21"
"RVSN USSR","1961-02-12","2022-08-15 00:34:00","Molniya","Venera 1","1","0","2","21"
"NASA","1961-02-16","2022-08-15 13:05:00","Scout X-1","Explorer 9 (S-56A)","1","0","2","3"
"US Air Force","1961-02-17","2022-08-15 20:25:00","Thor DM-21 Agena-B","Discoverer 20","1","0","2","3"
"US Air Force","1961-02-18","2022-08-15 22:58:00","Thor DM-21 Agena-B","Discoverer 21","1","0","2","3"
"NASA","1961-02-21","2022-08-15 14:12:00","Atlas-D Mercury","Mercury-Atlas 2 (MA-2)","1","0","2","3"
"US Air Force","1961-02-22","2022-08-15 03:45:00","Thor-DM21 Ablestar","Transit 3B & Lofti 1","1","0","2","3"
"RVSN USSR","1961-03-09","2022-08-15 06:29:00","Vostok","Korabl-Sputnik 4","1","0","2","21"
"NASA","1961-03-24","2022-08-15 17:30:00","Mercury-Redstone","Mercury-Redstone BD (MR-BD)","1","0","2","3"
"RVSN USSR","1961-03-25","2022-08-15 05:54:00","Vostok","Korabl-Sputnik 5","1","0","2","21"
"US Air Force","1961-03-25","2022-08-15 15:17:00","Thor DM-19 Delta","Explorer 10","1","0","2","3"
"US Air Force","1961-03-30","2022-08-15 20:34:00","Thor DM-21 Agena-B","Discoverer 22","1","0","4","3"
"US Air Force","1961-04-08","2022-08-15 19:21:00","Thor DM-21 Agena-B","Discoverer 23","1","0","2","3"
"RVSN USSR","1961-04-12","2022-08-15 06:07:00","Vostok","Vostok 1","1","0","2","21"
"NASA","1961-04-25","2022-08-15 16:15:00","Atlas-D Mercury","Mercury-Atlas 3 (MA-3)","1","0","4","3"
"NASA","1961-05-05","2022-08-15 14:34:00","Mercury-Redstone","Freedom 7 (MR-3)","1","0","2","3"
"US Air Force","1961-06-08","2022-08-15 21:16:00","Thor DM-21 Agena-B","Discoverer 24","1","0","4","3"
"US Air Force","1961-06-16","2022-08-15 23:02:00","Thor DM-21 Agena-B","Discoverer 25","1","0","2","3"
"US Air Force","1961-06-29","2022-08-15 04:22:00","Thor-DM21 Ablestar","Transit 4A, Injun 1 & GRAB-3","1","0","2","3"
"NASA","1961-06-30","2022-08-15 17:09:00","Scout X-1","Explorer (S-55)","1","0","4","3"
"US Air Force","1961-07-07","2022-08-15 23:29:00","Thor DM-21 Agena-B","Discoverer 26","1","0","2","3"
"US Air Force","1961-07-12","2022-08-15 10:25:00","Thor DM-19 Delta","TIROS-3","1","0","2","3"
"General Dynamics","1961-07-12","2022-08-15 15:11:00","Atlas-LV3 Agena-B","Midas 3","1","0","2","3"
"NASA","1961-07-21","2022-08-15 12:36:00","Mercury-Redstone","Liberty Bell 7 (MR-4)","1","0","2","3"
"US Air Force","1961-07-21","2022-08-15 22:35:00","Thor DM-21 Agena-B","Discoverer 27","1","0","4","3"
"US Air Force","1961-08-04","2022-08-15 00:01:00","Thor DM-21 Agena-B","Discoverer 28","1","0","4","3"
"RVSN USSR","1961-08-06","2022-08-15 06:00:00","Vostok","Vostok 2","1","0","2","21"
"US Air Force","1961-08-16","2022-08-15 03:21:00","Thor DM-19 Delta","Explorer 12","1","0","2","3"
"General Dynamics","1961-08-23","2022-08-15 10:04:00","Atlas-LV3 Agena-B","Ranger 1","1","0","4","3"
"NASA","1961-08-25","2022-08-15 18:29:00","Scout X-1","Explorer 13","1","0","1","3"
"US Air Force","1961-08-30","2022-08-15 20:00:00","Thor DM-21 Agena-B","Discoverer 29","1","0","2","3"
"General Dynamics","1961-09-09","2022-08-15 19:28:00","Atlas-LV3 Agena-B","Samos 3","1","0","4","3"
"US Air Force","1961-09-12","2022-08-15 19:59:00","Thor DM-21 Agena-B","Discoverer 30","1","0","2","3"
"NASA","1961-09-13","2022-08-15 14:04:00","Atlas-D Mercury","Mercury-Atlas 4 (MA-4)","1","0","2","3"
"US Air Force","1961-09-17","2022-08-15 21:00:00","Thor DM-21 Agena-B","Discoverer 31","1","0","2","3"
"US Air Force","1961-10-13","2022-08-15 19:22:00","Thor DM-21 Agena-B","Discoverer 32","1","0","2","3"
"General Dynamics","1961-10-21","2022-08-15 13:53:00","Atlas-LV3 Agena-B","Midas 4","1","0","1","3"
"US Air Force","1961-10-23","2022-08-15 19:23:00","Thor DM-21 Agena-B","Discoverer 33","1","0","4","3"
"RVSN USSR","1961-10-27","2022-08-15 16:30:00","Cosmos-2I (63S1)","DS-1 1","1","0","4","14"
"NASA","1961-11-01","2022-08-15 15:32:00","Blue Scout II","Mercury-Scout 1 (MS-1)","1","0","4","3"
"US Air Force","1961-11-05","2022-08-15 20:00:00","Thor DM-21 Agena-B","Discoverer 34","1","0","4","3"
"US Air Force","1961-11-15","2022-08-15 21:23:00","Thor DM-21 Agena-B","Discoverer 35","1","0","2","3"
"US Air Force","1961-11-15","2022-08-15 22:26:00","Thor-DM21 Ablestar","Transit 4B & TRAAC","1","0","2","3"
"General Dynamics","1961-11-18","2022-08-15 08:12:00","Atlas-LV3 Agena-B","Ranger 2","1","0","4","3"
"General Dynamics","1961-11-22","2022-08-15 20:45:00","Atlas-LV3 Agena-B","Samos 4","1","0","4","3"
"NASA","1961-11-29","2022-08-15 15:08:00","Atlas-D Mercury","Mercury-Atlas 5 (MA-5)","1","0","2","3"
"RVSN USSR","1961-12-11","2022-08-15 09:39:00","Vostok","Zenit-2 n†­1","1","0","4","21"
"US Air Force","1961-12-12","2022-08-15 20:40:00","Thor DM-21 Agena-B","Discoverer 36 & Oscar 1","1","0","2","3"
